ID,Group,Type,Matrix,Mineralisation Style,SuperCRM,Status,Catalogue File Name,Ag,Ag Method,Al,Al Method,As,As Method,Au,Au Method,B,B Method,Ba,Ba Method,Be,Be Method,Bi,Bi Method,Ca,Ca Method,Cd,Cd Method,Ce,Ce Method,Cl,Cl Method,Co,Co Method,Cr,Cr Method,Cs,Cs Method,Cu,Cu Method,Dy,Dy Method,Er,Er Method,Eu,Eu Method,Fe,Fe Method,Ga,Ga Method,Gd,Gd Method,Ge,Ge Method,Hf,Hf Method,Hg,Hg Method,Ho,Ho Method,In,In Method,Ir,Ir Method,K,K Method,La,La Method,Li,Li Method,Lu,Lu Method,Mg,Mg Method,Mn,Mn Method,Mo,Mo Method,Na,Na Method,Nb,Nb Method,Nd,Nd Method,Ni,Ni Method,P,P Method,Pb,Pb Method,Pd,Pd Method,Pr,Pr Method,Pt,Pt Method,Rb,Rb Method,Re,Re Method,Rh,Rh Method,Ru,Ru Method,S,S Method,Sb,Sb Method,Sc,Sc Method,Se,Se Method,Si,Si Method,Sm,Sm Method,Sn,Sn Method,Sr,Sr Method,Ta,Ta Method,Tb,Tb Method,Te,Te Method,Th,Th Method,Ti,Ti Method,Tl,Tl Method,Tm,Tm Method,U,U Method,V,V Method,W,W Method,Y,Y Method,Yb,Yb Method,Zn,Zn Method,Zr,Zr Method
OREAS0110,Cu ore,primary,massive sulphide,volcanic hosted massive sulphide,no,Current,oreas-catalogue-2023-11-03.csv,0.58,4-Acid Digestion,,,103,4-Acid Digestion,,,,,,,,,,,,,,,,,,,24,4-Acid Digestion,,,,,1620,4-Acid Digestion,,,,,,,251000,4-Acid Digestion,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36,4-Acid Digestion,,,,,,,,,,,,,,,,,15.2,4-Acid Digestion,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,72,4-Acid Digestion,,
OREAS0111,Cu ore,primary,massive sulphide,volcanic hosted massive sulphide,no,Current,oreas-catalogue-2023-11-03.csv,10.1,4-Acid Digestion,,,215,4-Acid Digestion,,,,,,,,,,,,,12,4-Acid Digestion,,,,,452,4-Acid Digestion,,,,,23700,4-Acid Digestion,,,,,,,352000,4-Acid Digestion,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,377,4-Acid Digestion,,,,,,,,,,,,,,,,,18,4-Acid Digestion,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4196,4-Acid Digestion,,
OREAS0111b,Cu ore,primary,massive sulphide,volcanic hosted massive sulphide,no,Current,oreas-catalogue-2023-11-03.csv,10.1,4-Acid Digestion,,,220,4-Acid Digestion,,,,,,,,,,,,,14.3,4-Acid Digestion,,,,,490,4-Acid Digestion,,,,,24700,4-Acid Digestion,,,,,,,361000,4-Acid Digestion,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,393,4-Acid Digestion,,,,,,,,,,,,,,,,,21,4-Acid Digestion,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4334,4-Acid Digestion,,
OREAS0112,Cu ore,primary,massive sulphide,volcanic hosted massive sulphide,no,Current,oreas-catalogue-2023-11-03.csv,17,Peroxide Fusion ICP,,,222,4-Acid Digestion,,,,,,,,,,,,,14.6,4-Acid Digestion,,,,,551,4-Acid Digestion,,,,,51000,4-Acid Digestion,,,,,,,341000,4-Acid Digestion,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,360,4-Acid Digestion,,,,,,,,,,,,,,,,,16,4-Acid Digestion,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4351,4-Acid Digestion,,
OREAS0113,Cu ore,primary,massive sulphide,volcanic hosted massive sulphide,no,Current,oreas-catalogue-2023-11-03.csv,25,Peroxide Fusion ICP,,,234,4-Acid Digestion,,,,,,,,,,,,,15.5,4-Acid Digestion,,,,,766,4-Acid Digestion,,,,,135000,4-Acid Digestion,,,,,,,282000,4-Acid Digestion,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,230,4-Acid Digestion,,,,,,,,,,,,,,,,,8,4-Acid Digestion,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4178,4-Acid Digestion,,
OREAS0120,U ore,oxide,sandstone/ sediments,sedimentary and hydrothermal,yes,Current,oreas-catalogue-2023-11-03.csv,,,46300,4-Acid Digestion,,,,,,,983,4-Acid Digestion,1.5,4-Acid Digestion,,,620,4-Acid Digestion,,,44,4-Acid Digestion,,,4.22,4-Acid Digestion,33,4-Acid Digestion,0.74,4-Acid Digestion,,,2.29,4-Acid Digestion,,,1.11,4-Acid Digestion,15700,4-Acid Digestion,11,4-Acid Digestion,3.04,Borate / Peroxide Fusion ICP,,,1.5,4-Acid Digestion,,,0.48,Borate / Peroxide Fusion ICP,0.014,4-Acid Digestion,,,25900,4-Acid Digestion,20,4-Acid Digestion,4.82,4-Acid Digestion,0.21,Borate / Peroxide Fusion ICP,2310,4-Acid Digestion,780,4-Acid Digestion,6.97,4-Acid Digestion,2340,4-Acid Digestion,7.7,4-Acid Digestion,19.1,Borate / Peroxide Fusion ICP,,,120,4-Acid Digestion,17.5,4-Acid Digestion,,,5.01,Borate / Peroxide Fusion ICP,,,87,Borate / Peroxide Fusion ICP,,,,,,,,,,,2.73,4-Acid Digestion,,,382642,Borate Fusion XRF,3.74,Borate / Peroxide Fusion ICP,0.67,4-Acid Digestion,124,4-Acid Digestion,0.55,4-Acid Digestion,0.43,4-Acid Digestion,,,5.57,4-Acid Digestion,2380,4-Acid Digestion,0.43,4-Acid Digestion,0.2,Borate / Peroxide Fusion ICP,40,4-Acid Digestion,,,,,10.1,4-Acid Digestion,1.03,4-Acid Digestion,13.1,4-Acid Digestion,255,Borate / Peroxide Fusion ICP
OREAS0121,U ore,oxide,sandstone/ sediments,sedimentary and hydrothermal,yes,Current,oreas-catalogue-2023-11-03.csv,,,45900,4-Acid Digestion,,,,,,,1009,4-Acid Digestion,1.55,4-Acid Digestion,,,770,4-Acid Digestion,,,45,4-Acid Digestion,,,4.36,4-Acid Digestion,35,4-Acid Digestion,0.75,4-Acid Digestion,,,2.32,4-Acid Digestion,1.37,Borate / Peroxide Fusion ICP,1.11,4-Acid Digestion,15900,4-Acid Digestion,11.1,4-Acid Digestion,3.07,Borate / Peroxide Fusion ICP,,,1.52,4-Acid Digestion,,,0.49,Borate / Peroxide Fusion ICP,,,,,25700,4-Acid Digestion,21,4-Acid Digestion,4.79,4-Acid Digestion,0.21,Borate / Peroxide Fusion ICP,2400,4-Acid Digestion,780,4-Acid Digestion,7.43,4-Acid Digestion,2390,4-Acid Digestion,7.77,4-Acid Digestion,19.1,Borate / Peroxide Fusion ICP,,,140,4-Acid Digestion,17.4,4-Acid Digestion,,,,,,,86,Borate / Peroxide Fusion ICP,,,,,,,,,0.068,4-Acid Digestion,2.92,4-Acid Digestion,,,380772,Borate Fusion XRF,3.68,Borate / Peroxide Fusion ICP,0.67,4-Acid Digestion,130,4-Acid Digestion,0.53,4-Acid Digestion,0.41,4-Acid Digestion,,,5.57,4-Acid Digestion,2430,4-Acid Digestion,0.43,4-Acid Digestion,0.2,Borate / Peroxide Fusion ICP,206,4-Acid Digestion,,,0.39,4-Acid Digestion,10.5,4-Acid Digestion,1.07,4-Acid Digestion,13.1,4-Acid Digestion,261,Borate / Peroxide Fusion ICP
OREAS0122,U ore,oxide,sandstone/ sediments,sedimentary and hydrothermal,yes,Current,oreas-catalogue-2023-11-03.csv,,,46300,4-Acid Digestion,,,,,,,1000,4-Acid Digestion,1.63,4-Acid Digestion,,,920,4-Acid Digestion,,,45,4-Acid Digestion,,,4.36,4-Acid Digestion,,,0.75,4-Acid Digestion,3.38,4-Acid Digestion,2.44,4-Acid Digestion,1.39,Borate / Peroxide Fusion ICP,1.13,4-Acid Digestion,16100,4-Acid Digestion,10.8,4-Acid Digestion,3.1,Borate / Peroxide Fusion ICP,,,1.46,4-Acid Digestion,,,0.5,Borate / Peroxide Fusion ICP,0.014,4-Acid Digestion,,,26000,4-Acid Digestion,20,4-Acid Digestion,4.79,4-Acid Digestion,0.23,Borate / Peroxide Fusion ICP,2470,4-Acid Digestion,770,Borate / Peroxide Fusion ICP,7.45,4-Acid Digestion,2440,4-Acid Digestion,7.76,4-Acid Digestion,19.3,Borate / Peroxide Fusion ICP,,,170,4-Acid Digestion,17.6,4-Acid Digestion,,,5.06,Borate / Peroxide Fusion ICP,,,87,Borate / Peroxide Fusion ICP,,,,,,,,,,,2.96,4-Acid Digestion,,,381988,Borate Fusion XRF,3.74,Borate / Peroxide Fusion ICP,0.68,4-Acid Digestion,139,4-Acid Digestion,0.53,4-Acid Digestion,0.42,4-Acid Digestion,,,5.5,4-Acid Digestion,2470,4-Acid Digestion,0.41,4-Acid Digestion,0.2,Borate / Peroxide Fusion ICP,407,4-Acid Digestion,24,Borate / Peroxide Fusion ICP,,,10.5,4-Acid Digestion,1.19,4-Acid Digestion,13.5,4-Acid Digestion,46,4-Acid Digestion
OREAS0123,U ore,oxide,sandstone/ sediments,sedimentary and hydrothermal,yes,Current,oreas-catalogue-2023-11-03.csv,,,45700,4-Acid Digestion,5.19,4-Acid Digestion,,,,,1015,4-Acid Digestion,1.74,4-Acid Digestion,,,1010,4-Acid Digestion,,,46,4-Acid Digestion,,,4.49,4-Acid Digestion,37,4-Acid Digestion,0.76,4-Acid Digestion,,,2.45,4-Acid Digestion,1.45,Borate / Peroxide Fusion ICP,1.09,Borate / Peroxide Fusion ICP,16000,4-Acid Digestion,10.9,4-Acid Digestion,3.13,Borate / Peroxide Fusion ICP,,,1.53,4-Acid Digestion,,,0.51,Borate / Peroxide Fusion ICP,0.014,4-Acid Digestion,,,25800,4-Acid Digestion,21,4-Acid Digestion,4.66,4-Acid Digestion,0.24,Borate / Peroxide Fusion ICP,2440,4-Acid Digestion,750,4-Acid Digestion,7.44,4-Acid Digestion,2450,4-Acid Digestion,7.67,4-Acid Digestion,19.5,Borate / Peroxide Fusion ICP,,,220,4-Acid Digestion,18.3,4-Acid Digestion,,,5.15,Borate / Peroxide Fusion ICP,,,87,Borate / Peroxide Fusion ICP,,,,,,,,,0.085,4-Acid Digestion,2.98,4-Acid Digestion,,,382315,Borate Fusion XRF,3.87,Borate / Peroxide Fusion ICP,0.7,4-Acid Digestion,154,4-Acid Digestion,0.55,4-Acid Digestion,0.46,4-Acid Digestion,,,5.56,4-Acid Digestion,2470,4-Acid Digestion,0.42,4-Acid Digestion,0.21,Borate / Peroxide Fusion ICP,825,4-Acid Digestion,24,Borate / Peroxide Fusion ICP,0.52,4-Acid Digestion,11,4-Acid Digestion,1.17,4-Acid Digestion,13.8,4-Acid Digestion,48,4-Acid Digestion
OREAS0124,U ore,oxide,sandstone/ sediments,sedimentary and hydrothermal,yes,Current,oreas-catalogue-2023-11-03.csv,,,46100,4-Acid Digestion,,,,,,,1046,4-Acid Digestion,1.94,4-Acid Digestion,,,890,4-Acid Digestion,,,49,4-Acid Digestion,,,4.26,4-Acid Digestion,38,4-Acid Digestion,0.78,4-Acid Digestion,,,2.71,4-Acid Digestion,1.6,Borate / Peroxide Fusion ICP,1.23,4-Acid Digestion,15700,4-Acid Digestion,11.2,4-Acid Digestion,3.47,Borate / Peroxide Fusion ICP,,,1.56,4-Acid Digestion,,,0.58,Borate / Peroxide Fusion ICP,0.014,4-Acid Digestion,,,25600,4-Acid Digestion,21,4-Acid Digestion,4.61,4-Acid Digestion,0.26,Borate / Peroxide Fusion ICP,2210,4-Acid Digestion,690,4-Acid Digestion,7.36,4-Acid Digestion,2320,4-Acid Digestion,7.84,4-Acid Digestion,21,Borate / Peroxide Fusion ICP,,,320,4-Acid Digestion,20,4-Acid Digestion,,,5.39,Borate / Peroxide Fusion ICP,,,86,Borate / Peroxide Fusion ICP,,,,,,,,,0.083,4-Acid Digestion,3.01,4-Acid Digestion,,,381053,Borate Fusion XRF,4.21,Borate / Peroxide Fusion ICP,0.71,4-Acid Digestion,188,4-Acid Digestion,0.56,4-Acid Digestion,0.5,4-Acid Digestion,,,5.79,4-Acid Digestion,2520,4-Acid Digestion,0.41,4-Acid Digestion,0.22,Borate / Peroxide Fusion ICP,1779,4-Acid Digestion,23,Borate / Peroxide Fusion ICP,0.71,4-Acid Digestion,12.1,4-Acid Digestion,1.63,Borate / Peroxide Fusion ICP,14.3,4-Acid Digestion,50,4-Acid Digestion
OREAS0012a,"Au >1 ppm, Au only",primary,metasediment/basalt,orogenic lode gold,no,Archived,oreas-catalogue-2023-11-03.csv,,,,,,,11.79,Pb Fire Assay,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OREAS0130,Zn-Pb-Ag sulphide ore,primary,sulphidic graphitic slate,SEDEX,yes,Current,oreas-catalogue-2023-11-03.csv,6.27,Aqua Regia Digestion,54200,4-Acid Digestion,206,4-Acid Digestion,,,,,4130,Peroxide Fusion ICP,2.8,4-Acid Digestion,3.11,4-Acid Digestion,18400,4-Acid Digestion,30,4-Acid Digestion,58,4-Acid Digestion,,,29,4-Acid Digestion,48,4-Acid Digestion,6.46,4-Acid Digestion,227,4-Acid Digestion,3.63,4-Acid Digestion,2.14,4-Acid Digestion,0.89,4-Acid Digestion,73900,4-Acid Digestion,14,4-Acid Digestion,4.44,4-Acid Digestion,,,3.29,4-Acid Digestion,0.67,Aqua Regia Digestion,0.74,4-Acid Digestion,0.21,4-Acid Digestion,,,49600,Peroxide Fusion ICP,27,4-Acid Digestion,50,4-Acid Digestion,0.31,4-Acid Digestion,10900,4-Acid Digestion,1880,4-Acid Digestion,8.65,4-Acid Digestion,1930,4-Acid Digestion,6.81,4-Acid Digestion,28,4-Acid Digestion,35,Aqua Regia Digestion,870,4-Acid Digestion,1300,4-Acid Digestion,,,7.18,4-Acid Digestion,,,240,Peroxide Fusion ICP,,,,,,,59400,4-Acid Digestion,5.81,4-Acid Digestion,8.64,4-Acid Digestion,,,260600,Peroxide Fusion ICP,5.06,Peroxide Fusion ICP,1.42,4-Acid Digestion,158,4-Acid Digestion,,,0.63,4-Acid Digestion,0.17,Aqua Regia Digestion,10.1,4-Acid Digestion,1770,4-Acid Digestion,35,4-Acid Digestion,0.3,4-Acid Digestion,9.98,4-Acid Digestion,33,Aqua Regia Digestion,2.81,4-Acid Digestion,19.6,4-Acid Digestion,2.04,4-Acid Digestion,17100,4-Acid Digestion,,
OREAS0131a,Zn-Pb-Ag sulphide ore,primary,carbonate siltstone,SEDEX,no,Archived,oreas-catalogue-2023-11-03.csv,30,Aqua Regia Digestion,46309,4-Acid Digestion,82,4-Acid Digestion,,,,,728,4-Acid Digestion,,,,,54102,4-Acid Digestion,81,4-Acid Digestion,,,,,23,4-Acid Digestion,,,,,322,4-Acid Digestion,,,,,,,58800,4-Acid Digestion,,,,,,,,,,,,,,,,,,,,,,,,,31177,4-Acid Digestion,,,,,,,,,,,,,,,17200,4-Acid Digestion,,,,,,,,,,,,,,,48000,4-Acid Digestion,47,4-Acid Digestion,,,,,208523,Borate / Peroxide Fusion ICP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28300,4-Acid Digestion,,
OREAS0131b,Zn-Pb-Ag sulphide ore,primary,carbonate siltstone,SEDEX,no,Archived,oreas-catalogue-2023-11-03.csv,32,Aqua Regia Digestion,46257,4-Acid Digestion,82,4-Acid Digestion,,,,,795,Borate / Peroxide Fusion ICP,,,,,53673,4-Acid Digestion,89,4-Acid Digestion,,,,,18.8,4-Acid Digestion,,,,,216,4-Acid Digestion,,,,,,,57100,4-Acid Digestion,,,,,,,,,,,,,,,,,,,,,,,,,31056,4-Acid Digestion,,,,,,,,,,,,,,,18800,4-Acid Digestion,,,,,,,,,,,,,,,49200,4-Acid Digestion,50,4-Acid Digestion,,,,,206653,Borate / Peroxide Fusion ICP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30400,4-Acid Digestion,,
OREAS0132a,Zn-Pb-Ag sulphide ore,primary,carbonate siltstone,SEDEX,no,Archived,oreas-catalogue-2023-11-03.csv,56,Aqua Regia Digestion,41387,4-Acid Digestion,146,4-Acid Digestion,,,,,882,Borate / Peroxide Fusion ICP,,,,,49242,4-Acid Digestion,155,4-Acid Digestion,,,,,43,4-Acid Digestion,,,,,461,4-Acid Digestion,,,,,,,77300,4-Acid Digestion,,,,,,,,,,,,,,,,,,,,,,,,,28705,4-Acid Digestion,,,,,,,,,,,,,,,36400,4-Acid Digestion,,,,,,,,,,,,,,,79300,4-Acid Digestion,41,Aqua Regia Digestion,,,,,179261,Borate / Peroxide Fusion ICP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49800,4-Acid Digestion,,
OREAS0132b,Zn-Pb-Ag sulphide ore,primary,carbonate siltstone,SEDEX,no,Archived,oreas-catalogue-2023-11-03.csv,60,Aqua Regia Digestion,40435,4-Acid Digestion,149,4-Acid Digestion,,,,,890,Borate / Peroxide Fusion ICP,,,,,49314,4-Acid Digestion,165,4-Acid Digestion,,,,,44,4-Acid Digestion,,,,,477,4-Acid Digestion,,,,,,,77100,4-Acid Digestion,,,,,,,,,,,,,,,,,,,,,,,,,28705,4-Acid Digestion,,,,,,,,,,,,,,,38600,4-Acid Digestion,,,,,,,,,,,,,,,83400,4-Acid Digestion,53,4-Acid Digestion,,,,,178139,Borate / Peroxide Fusion ICP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,52500,4-Acid Digestion,,
