CRM ID,Analysis Method,Element,Unit,Certified Value,1SD
OREAS 100a,Laser Ablation ICP-MS,Ag,ppm,0.1,IND
OREAS 100a,Laser Ablation ICP-MS,Ho,ppm,4.915,IND
OREAS 100a,Laser Ablation ICP-MS,Sn,ppm,9.6,IND
OREAS 100a,Laser Ablation ICP-MS,As,ppm,14.9,IND
OREAS 100a,Laser Ablation ICP-MS,In,ppm,0.0625,IND
OREAS 100a,Laser Ablation ICP-MS,Sr,ppm,35.4,IND
OREAS 100a,Laser Ablation ICP-MS,Ba,ppm,410.5,IND
OREAS 100a,Laser Ablation ICP-MS,La,ppm,271.5,IND
OREAS 100a,Laser Ablation ICP-MS,Ta,ppm,3.69,IND
OREAS 100a,Laser Ablation ICP-MS,Be,ppm,3.8,IND
OREAS 100a,Laser Ablation ICP-MS,Lu,ppm,2.16,IND
OREAS 100a,Laser Ablation ICP-MS,Tb,ppm,3.635,IND
OREAS 100a,Laser Ablation ICP-MS,Bi,ppm,0.4,IND
OREAS 100a,Laser Ablation ICP-MS,Mn,wt.%,0.05125,IND
OREAS 100a,Laser Ablation ICP-MS,Te,ppm,< 0.2,IND
OREAS 100a,Laser Ablation ICP-MS,Cd,ppm,< 0.1,IND
OREAS 100a,Laser Ablation ICP-MS,Mo,ppm,19.9,IND
OREAS 100a,Laser Ablation ICP-MS,Th,ppm,51.1,IND
OREAS 100a,Laser Ablation ICP-MS,Ce,ppm,453,IND
OREAS 100a,Laser Ablation ICP-MS,Nb,ppm,41.9,IND
OREAS 100a,Laser Ablation ICP-MS,Ti,wt.%,0.2445,IND
OREAS 100a,Laser Ablation ICP-MS,Co,ppm,17.7,IND
OREAS 100a,Laser Ablation ICP-MS,Nd,ppm,151,IND
OREAS 100a,Laser Ablation ICP-MS,Tl,ppm,0.4,IND
OREAS 100a,Laser Ablation ICP-MS,Cr,ppm,39.5,IND
OREAS 100a,Laser Ablation ICP-MS,Ni,ppm,13,IND
OREAS 100a,Laser Ablation ICP-MS,Tm,ppm,2.51,IND
OREAS 100a,Laser Ablation ICP-MS,Cs,ppm,2.83,IND
